genre,super_genre
Rock,Rock
Electronic,Ambient & Experimental Electronic
Pop,Pop
Hip Hop,Hip Hop/Rap
lo-fi,Ambient & Experimental Electronic
lo-fi beats,Hip Hop/Rap
jazz,Jazz
Classical,Classical/Orchestral
"Folk, World, & Country",Folk/Acoustic
Indie Rock,Rock
techno,Techno & Trance
Funk / Soul,R&B/Soul
jazz beats,Jazz
Alternative Rock,Alternative/Indie
lo-fi hip hop,Hip Hop/Rap
idm,Ambient & Experimental Electronic
House,Electronic Dance Music (EDM)
Stage & Screen,Soundtrack/Instrumental
classical,Classical/Orchestral
Jazz,Jazz
Pop Rock,Pop
Indie Pop,Pop
drum and bass,Bass Music
nu jazz,Jazz
minimal techno,Techno & Trance
reggae,Reggae/Caribbean
ambient,Ambient & Experimental Electronic
pop punk,Punk/Hardcore
acid techno,Techno & Trance
dub techno,Techno & Trance
jungle,Garage & Breaks
breakbeat,Garage & Breaks
metalcore,Metal
experimental,Ambient & Experimental Electronic
musicals,Soundtrack/Instrumental
psychedelic rock,Rock
Experimental,Ambient & Experimental Electronic
dub,Reggae/Caribbean
punk,Punk/Hardcore
Synth-pop,Pop
drone,Ambient & Experimental Electronic
jazz fusion,Jazz
big band,Jazz
jazz rap,Hip Hop/Rap
celtic,World/Traditional
jazz funk,Jazz
Soundtrack,Soundtrack/Instrumental
medieval,World/Traditional
garage rock,Rock
folk,Folk/Acoustic
post-punk,Punk/Hardcore
roots reggae,Reggae/Caribbean
neo-psychedelic,Rock
acid house,Electronic Dance Music (EDM)
space rock,Rock
german pop,Pop
swing music,Jazz
lo-fi house,Electronic Dance Music (EDM)
dubstep,Bass Music
post-hardcore,Punk/Hardcore
Electro,Electronic Dance Music (EDM)
hard bop,Jazz
Downtempo,Ambient & Experimental Electronic
traditional folk,Folk/Acoustic
Ambient,Ambient & Experimental Electronic
Techno,Techno & Trance
Folk,Folk/Acoustic
Vocal,Pop
grime,Bass Music
tech house,Electronic Dance Music (EDM)
ragtime,Jazz
avant-garde,Alternative/Indie
krautrock,Rock
uk garage,Garage & Breaks
trip hop,Alternative/Indie
ragga,Reggae/Caribbean
opera,Classical/Orchestral
chamber music,Classical/Orchestral
trance,Techno & Trance
emo rap,Hip Hop/Rap
cool jazz,Jazz
neoclassical,Classical/Orchestral
melodic techno,Techno & Trance
choral,Classical/Orchestral
bluegrass,Folk/Acoustic
metal,Metal
rocksteady,Reggae/Caribbean
psytrance,Techno & Trance
christmas,Novelty/Spoken Word
Trap,Hip Hop/Rap
liquid funk,Bass Music
german indie,Alternative/Indie
proto-punk,Punk/Hardcore
uk grime,Bass Music
bassline,Garage & Breaks
bebop,Jazz
hard techno,Techno & Trance
noise rock,Alternative/Indie
Folk Rock,Folk/Acoustic
skate punk,Punk/Hardcore
house,Electronic Dance Music (EDM)
ska,Reggae/Caribbean
german hip hop,Hip Hop/Rap
acid rock,Rock
Ballad,Pop
children's music,Novelty/Spoken Word
glitch,Ambient & Experimental Electronic
blues,Blues
free jazz,Jazz
Soul,R&B/Soul
melodic house,Electronic Dance Music (EDM)
progressive trance,Techno & Trance
indie folk,Folk/Acoustic
vocal jazz,Jazz
americana,Country/Americana
soundtrack,Soundtrack/Instrumental
uk funky,Garage & Breaks
post-rock,Alternative/Indie
emo,Punk/Hardcore
baroque pop,Pop
Acoustic,Folk/Acoustic
Punk,Punk/Hardcore
chicago house,Electronic Dance Music (EDM)
downtempo,Ambient & Experimental Electronic
new wave,Alternative/Indie
surf rock,Rock
dark ambient,Ambient & Experimental Electronic
orchestra,Classical/Orchestral
french jazz,Jazz
Dance-pop,Pop
Latin,Latin
Deep House,Electronic Dance Music (EDM)
afro house,Electronic Dance Music (EDM)
Contemporary,Pop
northern soul,R&B/Soul
Baroque,Classical/Orchestral
progressive rock,Rock
minimalism,Classical/Orchestral
acid jazz,Jazz
Contemporary R&B,R&B/Soul
alt country,Country/Americana
bossa nova,Latin
jazz house,Electronic Dance Music (EDM)
hardcore,Punk/Hardcore
power pop,Pop
east coast hip hop,Hip Hop/Rap
ska punk,Punk/Hardcore
industrial,Alternative/Indie
classical piano,Classical/Orchestral
bass house,Electronic Dance Music (EDM)
tropical house,Electronic Dance Music (EDM)
horrorcore,Hip Hop/Rap
singer-songwriter,Folk/Acoustic
edm,Electronic Dance Music (EDM)
old school hip hop,Hip Hop/Rap
classic soul,R&B/Soul
Non-Music,Novelty/Spoken Word
Score,Soundtrack/Instrumental
footwork,Bass Music
slap house,Electronic Dance Music (EDM)
britpop,Alternative/Indie
deathcore,Metal
classic country,Country/Americana
southern gothic,Alternative/Indie
Romantic,Classical/Orchestral
deep house,Electronic Dance Music (EDM)
shoegaze,Alternative/Indie
dream pop,Alternative/Indie
art rock,Alternative/Indie
Modern,Pop
disco house,Electronic Dance Music (EDM)
Pop Rap,Hip Hop/Rap
nu disco,Funk/Disco
jangle pop,Pop
motown,R&B/Soul
hypertechno,Techno & Trance
doo-wop,R&B/Soul
schlager,Pop
Blues,Blues
hardcore punk,Punk/Hardcore
drill,Hip Hop/Rap
uk drill,Hip Hop/Rap
progressive house,Electronic Dance Music (EDM)
space music,New Age/Meditation
brazilian jazz,Jazz
blues rock,Blues
classic blues,Blues
folk rock,Folk/Acoustic
country blues,Blues
midwest emo,Punk/Hardcore
neue deutsche welle,Alternative/Indie
vaporwave,Ambient & Experimental Electronic
art pop,Pop
drumstep,Bass Music
melodic hardcore,Punk/Hardcore
country,Country/Americana
math rock,Alternative/Indie
Tech House,Electronic Dance Music (EDM)
tekno,Techno & Trance
Funk,R&B/Soul
smooth jazz,Jazz
Reggae,Reggae/Caribbean
folk punk,Punk/Hardcore
bass music,Bass Music
classic rock,Rock
indie jazz,Jazz
rap metal,Metal
underground hip hop,Hip Hop/Rap
Psychedelic Rock,Rock
funky house,Electronic Dance Music (EDM)
spoken word,Novelty/Spoken Word
rockabilly,Rock
soul jazz,Jazz
eurodance,Electronic Dance Music (EDM)
stoner rock,Rock
nu metal,Metal
lovers rock,Reggae/Caribbean
lullaby,Novelty/Spoken Word
latin jazz,Jazz
Disco,Funk/Disco
screamo,Punk/Hardcore
traditional country,Country/Americana
afropop,World/Traditional
retro soul,R&B/Soul
synthpop,Pop
boom bap,Hip Hop/Rap
dancehall,Reggae/Caribbean
soul,R&B/Soul
hardstyle,Garage & Breaks
Europop,Pop
traditional music,World/Traditional
electroclash,Electronic Dance Music (EDM)
future house,Electronic Dance Music (EDM)
gqom,Bass Music
sea shanties,Folk/Acoustic
Electro House,Electronic Dance Music (EDM)
jazz blues,Jazz
ebm,Electronic Dance Music (EDM)
slowcore,Alternative/Indie
big room,Electronic Dance Music (EDM)
disco,Funk/Disco
chanson,Pop
alternative metal,Metal
chillwave,Ambient & Experimental Electronic
future bass,Bass Music
Country,Country/Americana
djent,Metal
riddim,Bass Music
lounge,New Age/Meditation
breakcore,Garage & Breaks
Instrumental,Soundtrack/Instrumental
Contemporary Jazz,Jazz
Hard Rock,Rock
egg punk,Punk/Hardcore
adult standards,Pop
afrobeat,World/Traditional
madchester,Alternative/Indie
bedroom pop,Pop
big beat,Electronic Dance Music (EDM)
newgrass,Folk/Acoustic
afroswing,Hip Hop/Rap
gabber,Garage & Breaks
amapiano,Electronic Dance Music (EDM)
french house,Electronic Dance Music (EDM)
italo dance,Electronic Dance Music (EDM)
exotica,New Age/Meditation
neo soul,R&B/Soul
afrobeats,World/Traditional
hardcore techno,Garage & Breaks
Children's,Novelty/Spoken Word
alternative r&b,R&B/Soul
cold wave,Alternative/Indie
yacht rock,Pop
folk pop,Folk/Acoustic
Abstract,Ambient & Experimental Electronic
southern hip hop,Hip Hop/Rap
stoner metal,Metal
g-house,Electronic Dance Music (EDM)
indie,Alternative/Indie
french pop,Pop
rock,Rock
honky tonk,Country/Americana
anti-folk,Folk/Acoustic
sludge metal,Metal
hip hop,Hip Hop/Rap
tribal house,Electronic Dance Music (EDM)
cloud rap,Hip Hop/Rap
stutter house,Electronic Dance Music (EDM)
Soft Rock,Rock
schlagerparty,Pop
requiem,Classical/Orchestral
comedy,Novelty/Spoken Word
darkwave,Alternative/Indie
happy hardcore,Garage & Breaks
post-grunge,Rock
celtic rock,Rock
latin house,Electronic Dance Music (EDM)
Holiday,Novelty/Spoken Word
Progressive House,Electronic Dance Music (EDM)
frenchcore,Garage & Breaks
afro soul,World/Traditional
Leftfield,Alternative/Indie
phonk,Hip Hop/Rap
glam rock,Rock
electro swing,Electronic Dance Music (EDM)
city pop,Pop
Lo-Fi,Ambient & Experimental Electronic
riot grrrl,Punk/Hardcore
RnB/Swing,R&B/Soul
anime,Soundtrack/Instrumental
miami bass,Hip Hop/Rap
new age,New Age/Meditation
Garage Rock,Rock
outlaw country,Country/Americana
gregorian chant,Classical/Orchestral
Brass & Military,Classical/Orchestral
synthwave,Electronic Dance Music (EDM)
modern blues,Blues
Renaissance,Classical/Orchestral
experimental hip hop,Hip Hop/Rap
hyperpop,Pop
melodic rap,Hip Hop/Rap
indie rock,Rock
Opera,Classical/Orchestral
hard rock,Rock
Conscious,Hip Hop/Rap
Heavy Metal,Metal
variété française,Pop
Trance,Techno & Trance
post-disco,Funk/Disco
italo disco,Funk/Disco
New Wave,Alternative/Indie
Rock & Roll,Rock
hard house,Electronic Dance Music (EDM)
Video Game Music,Soundtrack/Instrumental
Noise,Alternative/Indie
indie punk,Punk/Hardcore
doom metal,Metal
mpb,Latin
Pop Punk,Punk/Hardcore
japanese classical,Classical/Orchestral
polka,World/Traditional
lo-fi indie,Alternative/Indie
west coast hip hop,Hip Hop/Rap
Dubstep,Bass Music
jam band,Rock
christian country,Country/Americana
alternative dance,Electronic Dance Music (EDM)
3 step,Garage & Breaks
Alt-Pop,Pop
reggae rock,Rock
uk r&b,R&B/Soul
Breakbeat,Garage & Breaks
queercore,Punk/Hardcore
drift phonk,Hip Hop/Rap
Rhythm & Blues,R&B/Soul
drone metal,Metal
new rave,Electronic Dance Music (EDM)
italian singer-songwriter,Folk/Acoustic
organic house,Electronic Dance Music (EDM)
Minimal,Ambient & Experimental Electronic
gothic rock,Rock
Blues Rock,Blues
groove metal,Metal
chillstep,Bass Music
Hardcore,Punk/Hardcore
Gospel,R&B/Soul
bolero,Latin
punk rap,Hip Hop/Rap
quiet storm,R&B/Soul
boogie-woogie,Jazz
mariachi,Latin
industrial rock,Alternative/Indie
Prog Rock,Rock
ambient folk,Folk/Acoustic
aor,Rock
son cubano,Latin
r&b,R&B/Soul
alternative hip hop,Hip Hop/Rap
progressive metal,Metal
speedcore,Garage & Breaks
heavy metal,Metal
indie dance,Electronic Dance Music (EDM)
afropiano,Electronic Dance Music (EDM)
ranchera,Latin
electro,Electronic Dance Music (EDM)
African,World/Traditional
industrial metal,Metal
Dub,Reggae/Caribbean
death metal,Metal
swedish pop,Pop
rock and roll,Rock
christian rock,Rock
Musical,Soundtrack/Instrumental
alternative rock,Alternative/Indie
hardcore hip hop,Hip Hop/Rap
celtic punk,Punk/Hardcore
christian alternative rock,Rock
glam metal,Metal
Modern Classical,Classical/Orchestral
deathstep,Bass Music
gangster rap,Hip Hop/Rap
Drum n Bass,Bass Music
g-funk,Hip Hop/Rap
IDM,Ambient & Experimental Electronic
Comedy,Novelty/Spoken Word
grunge,Rock
Industrial,Alternative/Indie
hi-nrg,Electronic Dance Music (EDM)
Chanson,Pop
edm trap,Bass Music
country rock,Country/Americana
rap rock,Hip Hop/Rap
soft rock,Rock
Easy Listening,Pop
Euro House,Electronic Dance Music (EDM)
Country Rock,Country/Americana
reggaeton,Latin
Classic Rock,Rock
philly soul,R&B/Soul
Neo Soul,R&B/Soul
samba,Latin
southern rock,Rock
private school piano,Pop
Power Pop,Pop
Breaks,Garage & Breaks
funk rock,Rock
electronica,Electronic Dance Music (EDM)
melbourne bounce,Electronic Dance Music (EDM)
k-pop,Pop
crunk,Hip Hop/Rap
easy listening,Pop
Theme,Soundtrack/Instrumental
speed metal,Metal
Gangsta,Hip Hop/Rap
afro r&b,R&B/Soul
soca,Reggae/Caribbean
shibuya-kei,Pop
Post-Punk,Punk/Hardcore
música mexicana,Latin
soul blues,Blues
medieval metal,Metal
witch house,Ambient & Experimental Electronic
psychobilly,Rock
electro house,Electronic Dance Music (EDM)
latin,Latin
melodic bass,Bass Music
baltimore club,Bass Music
hip house,Electronic Dance Music (EDM)
Trip Hop,Alternative/Indie
Jazzy Hip-Hop,Hip Hop/Rap
New Age,New Age/Meditation
french indie pop,Pop
Boom Bap,Hip Hop/Rap
Jazz-Funk,Jazz
rally house,Electronic Dance Music (EDM)
thrash metal,Metal
deathrock,Punk/Hardcore
roots rock,Rock
Emo,Punk/Hardcore
funk,R&B/Soul
alté,World/Traditional
UK Garage,Garage & Breaks
mathcore,Metal
villancicos,Novelty/Spoken Word
flamenco,World/Traditional
j-pop,Pop
rap,Hip Hop/Rap
Art Rock,Alternative/Indie
Chillwave,Ambient & Experimental Electronic
Dream Pop,Alternative/Indie
Novelty,Novelty/Spoken Word
Fusion,Jazz
chicago drill,Hip Hop/Rap
nightcore,Electronic Dance Music (EDM)
new jack swing,R&B/Soul
christian,R&B/Soul
Bass Music,Bass Music
japanese indie,Alternative/Indie
j-r&b,R&B/Soul
dark r&b,R&B/Soul
salsa,Latin
Shoegaze,Alternative/Indie
Hard Trance,Techno & Trance
Soul-Jazz,Jazz
Spoken Word,Novelty/Spoken Word
gnawa,World/Traditional
Avantgarde,Alternative/Indie
Brass Band,Classical/Orchestral
singeli,World/Traditional
Post Rock,Alternative/Indie
Free Improvisation,Jazz
europop,Pop
Hardcore Hip-Hop,Hip Hop/Rap
Choral,Classical/Orchestral
country hip hop,Hip Hop/Rap
rage rap,Hip Hop/Rap
folk metal,Metal
Psychedelic,Rock
cha cha cha,Latin
power metal,Metal
christian folk,Folk/Acoustic
Story,Novelty/Spoken Word
Klezmer,World/Traditional
jersey club,Bass Music
Acid,Electronic Dance Music (EDM)
Jazz-Rock,Jazz
ccm,R&B/Soul
red dirt,Country/Americana
Progressive Trance,Techno & Trance
ballroom vogue,Electronic Dance Music (EDM)
calypso,Reggae/Caribbean
moombahton,Bass Music
banda,Latin
acoustic pop,Folk/Acoustic
worship,R&B/Soul
nova mpb,Latin
Synthwave,Electronic Dance Music (EDM)
canzone napoletana,Pop
Neo-Classical,Classical/Orchestral
Surf,Rock
Metalcore,Metal
symphonic metal,Metal
tango,Latin
Future Jazz,Jazz
laïko,World/Traditional
Audiobook,Novelty/Spoken Word
Beat,Hip Hop/Rap
noise music,Alternative/Indie
