Year,Event,Date,Datetime
2016,Brexit Referendum,June 23,2016-06-23
2016,Donald Trump elected U.S. President,November 8,2016-11-08
2020,COVID-19 declared a pandemic,March 11,2020-03-11
2020,Black Lives Matter protests peak,May 25,2020-05-25
2021,Capitol Riot in the U.S.,January 6,2021-01-06
2022,Russia invades Ukraine,February 24,2022-02-24
2022,Queen Elizabeth II passes away,September 8,2022-09-08
2022,Iran protests begin,September 16,2022-09-16
2023,Israel-Gaza conflict escalates,October 7,2023-10-07
2023,India lands on the Moon (Chandrayaan-3),August 23,2023-08-23
2015,CRISPR gene editing breakthrough,April 1,2015-04-01
2019,First image of a black hole released,April 10,2019-04-10
2020,SpaceX’s Crew Dragon first human launch,May 30,2020-05-30
2021,James Webb Space Telescope launched,December 25,2021-12-25
2022,AI boom accelerates,November 30,2022-11-30
2022,Fusion energy breakthrough (net energy gain),December 13,2022-12-13
2019,Tesla unveils Cybertruck,November 21,2019-11-21
2019,5G rollout begins globally,April 1,2019-04-01
2023,Quantum computing milestone achieved,May 8,2023-05-08
2024,Reusable rockets become mainstream,December 1,2024-12-01
2015,Paris Climate Agreement signed,December 12,2015-12-12
2019,Australian bushfires peak,December 28,2019-12-28
2019,Amazon rainforest fires surge,August 1,2019-08-01
2022,Record-breaking heatwaves,July 19,2022-07-19
2023,Plastic waste bans introduced,October 1,2023-10-01
2023,Electric vehicle adoption skyrockets,September 28,2023-09-28
2025,Solar power expansion accelerates,May 21,2025-05-21
2025,Ocean cleanup projects gain traction,January 1,2025-01-01
2016,Leicester City wins Premier League,May 2,2016-05-02
2020,Tokyo Olympics postponed due to COVID-19,March 24,2020-03-24
2022,Argentina wins FIFA World Cup (Messi’s triumph),December 18,2022-12-18
2019,Avengers: Endgame premieres,April 26,2019-04-26
2019,Game of Thrones finale airs,May 19,2019-05-19
2021,Squid Game becomes a global phenomenon,September 17,2021-09-17
2023,Taylor Swift’s record-breaking Eras Tour begins,March 17,2023-03-17
2025,Super Bowl halftime show captivates audiences,February 9,2025-02-09
2019,Streaming wars intensify,October 9,2019-10-09
2025,Esports reaches mainstream popularity,February 10,2025-02-10
2022,NFT boom peaks,March 27,2022-03-27
2018,TikTok’s rise reshapes social media,August 1,2018-08-01
2025,Cryptocurrency expansion accelerates,May 28,2025-05-28
2025,Mental health awareness grows,February 3,2025-02-03
2025,Gender equality progress in leadership roles,February 25,2025-02-25
2025,AI-generated art & music gain popularity,May 8,2025-05-08
2022,Global population reaches 8 billion,November 15,2022-11-15
